family,lat,lon,country,commodity
Li,-33.8667,116.0625,Australia,Greenbushes [Beryllium; Lithium; Niobium and Tantalum; Tin|Pegmatite; Li-Cs-Ta type pegmatite; Hydrothermal]
Li,64.2,20.7692,Sweden,Orrvik [Lithium|Pegmatite]
Li,64.8008,20.7411,Sweden,Varuträsk [Beryllium; Lithium|Pegmatite]
NiCo,-35.767,148.817,Australia,Young [Cobalt|Ni-Co laterite]
NiCo,-33.6464,120.3947,Australia,Ravensthorpe [Cobalt|Ni-Co laterite]
NiCo,-32.117,141.2,Australia,Pyrite Hill-Big Hill [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-31.636,121.649,Australia,Kambalda [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,-31.546,147.165,Australia,Summervale/Westlynn [Cobalt|Ni-Co laterite]
NiCo,-31.45,137.25,Australia,Mount Gunson [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-31.3,137.16,Australia,Windabout [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-31.1,137.167,Australia,Emmie Bluff [Cobalt|Stratiform sediment-hosted Cu-Co]
NiCo,-30.433,136.878,Australia,Olympic Dam [Cobalt; Tellurium|Iron oxide-Cu-Au(Ag-U-REE-Co-Ni)]
NiCo,-30.3778,121.1539,Australia,Cawse [Cobalt|Ni-Co laterite]
NiCo,-30.2397,120.9956,Australia,Ora Banda [Cobalt|Ni-Co laterite]
NiCo,-30.1,121.05,Australia,Kalgoorlie Nickel [Cobalt|Ni-Co laterite]
NiCo,-29.726,122.036,Australia,Yerilla [Cobalt|Ni-Co laterite]
NiCo,-28.7678,121.8911,Australia,Murrin Murrin [Cobalt|Ni-Co laterite]
NiCo,-27.713,120.533,Australia,Mount Keith [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,-26.82,117.75,Australia,Weld Range [Cobalt|Ni-Co laterite]
NiCo,-26.0644,128.9692,Australia,Wingellina [Cobalt|Ni-Co laterite]
NiCo,-26.0,129.3,Australia,Claude Hills [Cobalt|Ni-Co laterite]
NiCo,-25.667,30.5,South Africa,Nkomati [Cobalt|Magmatic Ni-Cu(-Co-PGE) sulfide]
NiCo,-23.0083,149.8917,Australia,Marlborough [Cobalt|Ni-Co laterite]
NiCo,-22.3047,166.9322,New Caledonia,Goro [Cobalt|Ni-Co laterite]
NiCo,-22.067,135.55,Australia,Basil [Cobalt|Iron oxide-Cu-Au(Ag-U-REE-Co-Ni)]
NiCo,-21.6153,166.1819,New Caledonia,Thio [Cobalt|Ni-Co laterite]
NiCo,-21.5139,166.0522,New Caledonia,Nakety [Cobalt|Ni-Co laterite]
NiCo,-21.4153,165.7386,New Caledonia,Kouaoua [Cobalt|Ni-Co laterite]
NiCo,-21.2217,165.0417,New Caledonia,Nepoui [Cobalt|Ni-Co laterite]
NiCo,-21.033,140.533,Australia,Greenmount [Cobalt|Iron oxide-Cu-Au(Ag-U-REE-Co-Ni)]
