subtype,lat,lon
Cu_porphyry,31.0833,97.8667
Cu_porphyry,29.8092,115.4481
Cu_porphyry,30.4667,98.5000
Cu_porphyry,22.8833,102.5833
Cu_porphyry,31.4833,97.3500
Cu_porphyry,29.6917,91.7517
Cu_porphyry,29.9167,98.5833
Cu_porphyry,29.6833,88.9333
Cu_porphyry,42.5333,91.9167
Cu_porphyry,29.5833,91.4833
Cu_porphyry,42.1667,92.8500
Cu_porphyry,25.6667,100.5000
Cu_porphyry,31.0000,97.9500
Cu_porphyry,29.8333,98.5333
Cu_porphyry,31.2000,97.8000
Cu_porphyry,29.4667,90.8167
Cu_porphyry,28.0333,99.8333
Cu_porphyry,29.6000,91.5833
Cu_porphyry,32.1500,96.7667
Cu_porphyry,35.2908,99.8189
Cu_porphyry,42.3500,94.8333
Cu_porphyry,30.0333,98.5167
Cu_porphyry,31.1833,117.2667
Cu_porphyry,29.5500,90.0500
Cu_porphyry,30.1667,114.8000
Cu_porphyry,35.5000,111.7000
Cu_porphyry,42.1167,92.6167
Cu_porphyry,49.3900,117.4333
Cu_porphyry,31.6833,97.1333
Cu_porphyry,29.5167,88.5667
Cu_porphyry,27.4000,101.1333
Cu_porphyry,42.0833,92.5236
Cu_porphyry,31.4000,97.7333
Cu_porphyry,31.2500,97.7333
Cu_porphyry,29.4333,87.5333
Cu_porphyry,25.0500,116.4000
Cu_porphyry,8.4878,-77.3214
Cu_porphyry,7.3167,-72.8667
Cu_porphyry,3.5167,-75.0333
Cu_porphyry,4.1833,-75.3000
Cu_porphyry,1.2417,-76.6667
Cu_porphyry,7.0500,-76.7500
Cu_porphyry,6.7000,-76.5000
Cu_porphyry,2.1000,-76.8833
Cu_porphyry,9.6972,-83.3583
Cu_porphyry,9.3694,-82.9764
Cu_porphyry,22.1167,-80.0333
Cu_porphyry,20.0458,-75.9461
Cu_porphyry,20.2500,-76.8667
Cu_porphyry,18.5167,-70.2500
Cu_porphyry,-1.6667,-79.1500
Cu_porphyry,-1.3833,-79.1167
Cu_porphyry,-2.9333,-79.4167
Cu_porphyry,-4.0167,-78.8833
Cu_porphyry,-4.2500,-78.9500
Cu_porphyry,-3.5833,-79.3333
Cu_porphyry,-3.0500,-79.6833
Cu_porphyry,0.3333,-78.5833
Cu_porphyry,-4.3333,-80.0000
Cu_porphyry,-4.6500,-78.9000
Cu_porphyry,-3.6000,-78.5000
Cu_porphyry,-4.2000,-79.5833
Cu_porphyry,-3.6500,-78.4167
Cu_porphyry,-1.5667,-79.1333
Cu_porphyry,-4.2500,-79.2500
Cu_porphyry,-3.7833,-78.6000
Cu_porphyry,-18.0417,178.1750
Cu_porphyry,-18.1067,178.1783
Cu_porphyry,63.7708,25.2339
Cu_porphyry,39.8117,25.1922
Cu_porphyry,41.0233,25.7875
Cu_porphyry,40.8667,25.5550
Cu_porphyry,41.0550,23.1900
Cu_porphyry,40.4722,23.7036
Cu_porphyry,19.5500,-71.7833
Cu_porphyry,19.5167,-72.7000
Cu_porphyry,47.9100,19.0483
Cu_porphyry,47.9333,20.1000
Cu_porphyry,22.0167,80.7167
Cu_porphyry,-0.5000,113.1833
Cu_porphyry,-8.9653,116.8725
Cu_porphyry,0.9519,121.7706
Cu_porphyry,-7.2200,106.5600
Cu_porphyry,-3.8167,137.2333
Cu_porphyry,-3.6117,128.0917
Cu_porphyry,0.8333,109.2500
Cu_porphyry,-0.5167,127.5833
Cu_porphyry,-1.7000,101.2500
Cu_porphyry,-3.1583,119.4833
Cu_porphyry,5.0333,95.9500
Cu_porphyry,0.5167,123.2167
Cu_porphyry,0.3453,123.4022
Cu_porphyry,31.6592,53.8497
Cu_porphyry,34.5500,49.2667
Cu_porphyry,31.5764,53.8233
Cu_porphyry,29.8800,55.8994
Cu_porphyry,33.5358,54.5444
Cu_porphyry,30.4206,55.1672
Cu_porphyry,28.9000,57.2333
Cu_porphyry,29.9450,55.8619
Cu_porphyry,38.8075,46.3711
Cu_porphyry,40.5319,8.3650
Cu_porphyry,39.1706,8.4964
Cu_porphyry,39.8169,9.5158
Cu_porphyry,46.9333,79.9667
Cu_porphyry,48.6833,73.7000
Cu_porphyry,49.1592,75.6008
Cu_porphyry,52.8833,61.4167
Cu_porphyry,51.7667,61.7500
Cu_porphyry,48.2267,76.2722
Cu_porphyry,47.5019,74.0833
Cu_porphyry,51.8167,74.1833
Cu_porphyry,43.6203,74.2611
Cu_porphyry,46.6500,73.6333
Cu_porphyry,45.4833,74.2833
Cu_porphyry,47.3833,75.2333
Cu_porphyry,47.5000,75.1000
Cu_porphyry,44.4500,78.4333
Cu_porphyry,50.1622,76.1622
Cu_porphyry,46.9897,74.9872
Cu_porphyry,47.5333,84.4167
Cu_porphyry,51.9500,72.3333
Cu_porphyry,47.9167,79.3333
Cu_porphyry,50.0269,76.7272
Cu_porphyry,49.3264,75.9825
Cu_porphyry,46.2567,73.1986
Cu_porphyry,46.6000,74.4167
Cu_porphyry,52.3333,62.1833
Cu_porphyry,53.0167,62.5667
Cu_porphyry,48.9333,58.6833
Cu_porphyry,42.7000,75.6500
Cu_porphyry,18.9167,102.9333
Cu_porphyry,41.5106,22.6019
Cu_porphyry,41.3667,22.8167
Cu_porphyry,41.6167,22.8833
Cu_porphyry,41.8000,22.8667
Cu_porphyry,6.0333,116.7500
Cu_porphyry,6.0333,116.4667
Cu_porphyry,3.8500,102.8667
Cu_porphyry,6.1000,116.4667
Cu_porphyry,27.0517,-108.3411
Cu_porphyry,27.0333,-107.7000
Cu_porphyry,19.6806,-96.4528
Cu_porphyry,30.9542,-110.3167
Cu_porphyry,26.2522,-107.3294
Cu_porphyry,28.3861,-109.6569
Cu_porphyry,29.8725,-109.9619
Cu_porphyry,28.0333,-113.5667
Cu_porphyry,30.4819,-109.7528
Cu_porphyry,18.8808,-101.6408
Cu_porphyry,30.3181,-109.5567
Cu_porphyry,30.3839,-109.7306
Cu_porphyry,23.3333,-106.0667
