family,cell_lat,cell_lon,score_pct,nearest_anchor_lat,nearest_anchor_lon,nearest_km
Cu,-26.0,-74.0,98.4,-26.4,-70.67,335.0
Cu,26.0,-112.0,98.3,28.03,-113.57,274.0
Cu,48.0,-104.0,98.3,44.49,-104.44,392.0
Cu,54.0,-116.0,98.2,51.63,-118.43,310.0
Cu,58.0,-142.0,98.2,59.9,-144.42,253.0
Cu,52.0,-108.0,98.1,54.33,-102.0,476.0
Cu,38.0,-128.0,98.1,39.07,-123.42,416.0
Cu,-24.0,-74.0,98.0,-24.54,-70.55,355.0
Cu,58.0,-146.0,98.0,59.9,-144.42,230.0
Cu,-32.0,-74.0,98.0,-31.19,-71.58,246.0
Cu,42.0,-100.0,98.0,43.96,-103.46,356.0
Cu,54.0,-114.0,98.0,51.63,-118.43,397.0
Cu,28.0,-118.0,97.9,28.17,-115.17,278.0
Cu,46.0,-102.0,97.9,44.37,-103.74,227.0
Cu,26.0,-114.0,97.9,28.03,-113.57,230.0
Cu,-22.0,-74.0,97.7,-22.4,-70.25,389.0
Cu,48.0,-130.0,97.7,49.26,-125.98,327.0
Cu,54.0,-112.0,97.7,51.63,-118.43,506.0
Cu,34.0,-126.0,97.7,35.42,-120.82,499.0
Cu,56.0,-140.0,97.6,57.29,-135.84,292.0
Cu,32.0,-124.0,97.6,35.42,-120.82,481.0
Cu,46.0,-130.0,97.6,49.26,-125.98,471.0
Cu,50.0,-104.0,97.6,54.33,-102.0,500.0
Cu,44.0,-130.0,97.6,42.82,-124.24,483.0
Cu,-28.0,-64.0,97.5,-27.37,-66.29,236.0
Cu,44.0,-100.0,97.5,43.96,-103.46,277.0
Cu,-28.0,-76.0,97.5,-28.69,-71.2,476.0
Cu,62.0,-132.0,97.5,62.97,-128.25,221.0
Cu,-30.0,-76.0,97.5,-31.19,-71.58,443.0
Cu,52.0,-132.0,97.5,54.69,-132.71,303.0
Cu,-20.0,-74.0,97.5,-17.81,-70.99,399.0
Cu,56.0,-142.0,97.5,57.81,-136.36,397.0
Cu,42.0,-130.0,97.5,42.82,-124.24,481.0
Cu,52.0,-106.0,97.5,54.33,-102.0,372.0
Cu,54.0,-136.0,97.4,54.9,-132.96,221.0
Cu,-34.0,-74.0,97.4,-35.53,-71.71,270.0
Cu,30.0,-122.0,97.4,31.97,-116.65,555.0
Cu,40.0,-98.0,97.4,37.08,-97.67,326.0
Cu,48.0,-102.0,97.4,44.37,-103.74,425.0
