depth_top_km,depth_bot_km,depth_mid_km,density_gcc,region,region_zh,shell_mass_kg,element,ppm_mass,shell_element_mass_kg
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Dy,4.2250000000000005,6165416686280632.0
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,I,0.36562500000000003,533545674774285.44
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ti,6163.817375109552,8.994675146908145e+18
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ir,0.0008125,1185657055053.9675
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Si,273387.6237932756,3.9894641835684574e+20
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,N,15.4375,2.2527484046025384e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Rh,0.0008125,1185657055053.9675
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Ge,1.21875,1778485582580951.5
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Mg,27525.449751861044,4.016706915917234e+19
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,In,0.203125,296414263763491.9
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,As,1.4625000000000001,2134182699097141.8
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Pd,0.0121875,17784855825809.51
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Te,0.0008125,1185657055053.9675
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Zn,56.875,8.299599385377773e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Cu,48.75,7.1139423303238056e+16
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,He,0.0065,9485256440431.74
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Al,81555.89201647705,1.1901208461606838e+20
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Kr,8.125e-05,118565705505.39676
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,Lu,0.65,948525644043174.1
0.0,0.983,0.492,2.9099,crust,地壳(等效),1.4592702216048833e+21,La,31.6875,4.624062514710474e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Ce,54.03125,7.882185490670614e+16
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,V,97.5,1.4223492614743965e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Sm,5.728125,8356301911162080.0
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Sr,300.625,4.3855768895460563e+17
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,Bi,0.00690625,10074973935443.64
0.983,1.967,1.475,2.9099,crust,地壳(等效),1.4588197553583555e+21,F,475.3125,6.933952649687683e+17
