family,cell_lat,cell_lon,score_pct,closest_subtype,closest_subtype_km
ZnPb,48.0,8.0,97.6,ZnPb_SEDEX,266.0
ZnPb,46.0,2.0,97.5,ZnPb_SEDEX,238.0
ZnPb,22.0,-108.0,97.5,ZnPb_SEDEX,303.0
ZnPb,44.0,-128.0,97.4,ZnPb_SEDEX,712.0
ZnPb,20.0,-108.0,97.4,ZnPb_SEDEX,510.0
ZnPb,48.0,-130.0,97.4,ZnPb_SEDEX,343.0
ZnPb,16.0,-100.0,97.3,ZnPb_SEDEX,285.0
ZnPb,18.0,-98.0,97.2,ZnPb_SEDEX,179.0
ZnPb,54.0,-136.0,97.1,ZnPb_SEDEX,662.0
ZnPb,50.0,-132.0,97.1,ZnPb_SEDEX,322.0
ZnPb,42.0,8.0,97.1,ZnPb_SEDEX,247.0
ZnPb,16.0,-102.0,97.0,ZnPb_SEDEX,381.0
ZnPb,52.0,-132.0,97.0,ZnPb_SEDEX,336.0
ZnPb,40.0,18.0,97.0,ZnPb_SEDEX,410.0
ZnPb,2.0,-80.0,96.9,ZnPb_SEDEX,902.0
ZnPb,16.0,44.0,96.7,ZnPb_SEDEX,858.0
ZnPb,12.0,44.0,96.7,ZnPb_SEDEX,1065.0
ZnPb,34.0,10.0,96.4,ZnPb_SEDEX,253.0
ZnPb,8.0,-82.0,96.4,ZnPb_SEDEX,1013.0
ZnPb,48.0,6.0,96.3,ZnPb_SEDEX,289.0
ZnPb,8.0,124.0,96.2,ZnPb_SEDEX,1001.0
ZnPb,16.0,-62.0,96.2,ZnPb_SEDEX,2453.0
ZnPb,50.0,12.0,96.2,ZnPb_SEDEX,44.0
ZnPb,-2.0,-82.0,96.1,ZnPb_SEDEX,615.0
ZnPb,52.0,-134.0,96.1,ZnPb_SEDEX,462.0
ZnPb,-44.0,-74.0,96.1,ZnPb_SEDEX,201.0
ZnPb,18.0,122.0,96.1,ZnPb_SEDEX,233.0
ZnPb,16.0,42.0,96.1,ZnPb_SEDEX,652.0
ZnPb,34.0,12.0,96.1,ZnPb_SEDEX,366.0
ZnPb,22.0,-112.0,96.0,ZnPb_SEDEX,616.0
ZnPb,40.0,-128.0,95.9,ZnPb_SEDEX,949.0
ZnPb,40.0,22.0,95.9,ZnPb_SEDEX,163.0
ZnPb,36.0,22.0,95.9,ZnPb_SEDEX,264.0
ZnPb,34.0,132.0,95.8,ZnPb_SEDEX,72.0
ZnPb,48.0,4.0,95.8,ZnPb_SEDEX,336.0
ZnPb,34.0,138.0,95.8,ZnPb_SEDEX,236.0
ZnPb,42.0,16.0,95.8,ZnPb_SEDEX,309.0
ZnPb,30.0,-118.0,95.8,ZnPb_SEDEX,692.0
ZnPb,36.0,26.0,95.8,ZnPb_SEDEX,257.0
ZnPb,56.0,114.0,95.7,ZnPb_SEDEX,255.0
ZnPb,-50.0,-74.0,95.7,ZnPb_SEDEX,306.0
ZnPb,-2.0,-76.0,95.7,ZnPb_SEDEX,489.0
ZnPb,40.0,6.0,95.7,ZnPb_SEDEX,222.0
ZnPb,6.0,124.0,95.7,ZnPb_SEDEX,1211.0
ZnPb,46.0,-128.0,95.7,ZnPb_SEDEX,491.0
ZnPb,42.0,6.0,95.7,ZnPb_SEDEX,290.0
ZnPb,48.0,2.0,95.6,ZnPb_SEDEX,420.0
ZnPb,42.0,144.0,95.6,ZnPb_SEDEX,462.0
ZnPb,26.0,122.0,95.6,ZnPb_SEDEX,748.0
ZnPb,40.0,144.0,95.6,ZnPb_SEDEX,328.0
ZnPb,12.0,46.0,95.6,ZnPb_SEDEX,1245.0
ZnPb,6.0,-78.0,95.5,ZnPb_SEDEX,1320.0
ZnPb,16.0,-94.0,95.5,ZnPb_SEDEX,645.0
ZnPb,8.0,128.0,95.5,ZnPb_SEDEX,1235.0
ZnPb,40.0,16.0,95.5,ZnPb_SEDEX,503.0
ZnPb,-4.0,-82.0,95.5,ZnPb_SEDEX,484.0
ZnPb,54.0,-176.0,95.5,ZnPb_SEDEX,1782.0
ZnPb,8.0,-86.0,95.4,ZnPb_SEDEX,795.0
ZnPb,18.0,-92.0,95.4,ZnPb_SEDEX,541.0
ZnPb,16.0,-64.0,95.4,ZnPb_SEDEX,2250.0
ZnPb,54.0,118.0,95.4,ZnPb_SEDEX,319.0
ZnPb,36.0,132.0,95.3,ZnPb_SEDEX,151.0
ZnPb,54.0,6.0,95.3,ZnPb_SEDEX,346.0
ZnPb,16.0,-106.0,95.3,ZnPb_SEDEX,737.0
ZnPb,54.0,-126.0,95.3,ZnPb_SEDEX,178.0
ZnPb,56.0,-166.0,95.3,ZnPb_SEDEX,1353.0
ZnPb,20.0,-64.0,95.2,ZnPb_SEDEX,2100.0
ZnPb,14.0,120.0,95.2,ZnPb_SEDEX,271.0
ZnPb,-50.0,-72.0,95.2,ZnPb_SEDEX,288.0
ZnPb,34.0,140.0,95.2,ZnPb_SEDEX,241.0
ZnPb,-48.0,-70.0,95.1,ZnPb_SEDEX,195.0
ZnPb,54.0,-120.0,95.1,ZnPb_SEDEX,245.0
ZnPb,20.0,-62.0,95.1,ZnPb_SEDEX,2307.0
ZnPb,58.0,-128.0,95.1,ZnPb_SEDEX,123.0
ZnPb,54.0,-178.0,95.0,ZnPb_SEDEX,1846.0
ZnPb,42.0,136.0,95.0,ZnPb_SEDEX,285.0
ZnPb,4.0,-78.0,95.0,ZnPb_SEDEX,1098.0
ZnPb,46.0,-2.0,95.0,ZnPb_SEDEX,302.0
ZnPb,58.0,-148.0,95.0,ZnPb_SEDEX,924.0
ZnPb,12.0,122.0,95.0,ZnPb_SEDEX,508.0
ZnPb,56.0,-126.0,94.9,ZnPb_SEDEX,60.0
ZnPb,56.0,96.0,94.9,ZnPb_SEDEX,283.0
ZnPb,-36.0,-74.0,94.9,ZnPb_SEDEX,739.0
ZnPb,42.0,138.0,94.9,ZnPb_SEDEX,346.0
ZnPb,-46.0,-76.0,94.9,ZnPb_SEDEX,274.0
ZnPb,-42.0,-72.0,94.9,ZnPb_SEDEX,337.0
ZnPb,16.0,124.0,94.8,ZnPb_SEDEX,365.0
ZnPb,20.0,-110.0,94.8,ZnPb_SEDEX,604.0
ZnPb,46.0,0.0,94.8,ZnPb_SEDEX,332.0
ZnPb,-40.0,-68.0,94.8,ZnPb_SEDEX,651.0
ZnPb,12.0,-90.0,94.8,ZnPb_SEDEX,380.0
ZnPb,14.0,126.0,94.8,ZnPb_SEDEX,638.0
ZnPb,10.0,126.0,94.7,ZnPb_SEDEX,921.0
ZnPb,16.0,-66.0,94.6,ZnPb_SEDEX,2049.0
ZnPb,52.0,-164.0,94.6,ZnPb_SEDEX,1742.0
ZnPb,58.0,-162.0,94.6,ZnPb_SEDEX,1051.0
ZnPb,0.0,-82.0,94.6,ZnPb_SEDEX,787.0
ZnPb,-22.0,-72.0,94.6,ZnPb_SEDEX,659.0
ZnPb,56.0,-154.0,94.6,ZnPb_SEDEX,1244.0
ZnPb,56.0,94.0,94.5,ZnPb_SEDEX,238.0
ZnPb,10.0,42.0,94.5,ZnPb_SEDEX,1074.0
ZnPb,42.0,-102.0,94.5,ZnPb_SEDEX,449.0
